Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Long Lover of Crocs. Don't worry about sizes for UK Buyers
",World of Wayne,5.0 out of 5 stars,"

  Just bought these for the Mrs. She is a size 6 so I got Men UK 5 / Women UK 6 and they fit perfectly. The last pair of Crocs I bought lasted 7 years so these are made to last. Brilliant and comfortable for the forthcoming summer days.

",Size: 5/6 UK WideColour: Neon Purple,17 people found this helpful,Reviewed in the United Kingdom on 14 April 2020
"
Confusing sizes!! Womans are affected also!! Buy size larger!!
",caroline,5.0 out of 5 stars,"

  These crocs are really soft , flexible and so comfy! My only problem was with the size! And can I say that it's NOT JUST  mens sizes which need altering it's women's too!! I'm always a size 4 yet on the soles of these it has UK sizes but says 'M3 / W4'....which totally confused me, so I ordered 2 pairs and the 2nd pair says UK sizes 'M4/W5' which still confuses me!! (How can a man's size be a 3 and the same shoe for a woman size 4? OR Man's size 4 and woman's size 5?) Anyway moving on. ...the upshot of all this was the M3/W4 were small (felt more like a size 3!) and the M4/W5 were just right (felt like a size 4!) So... FOR WOMEN pick a size BIGGER!!

",Size: 3 UK Men/ 4 UK WomenColour: Black,37 people found this helpful,Reviewed in the United Kingdom on 6 April 2016
"
Pot Luck
",Cake Lady,5.0 out of 5 stars,"

  I'm a size 6 and have worn crocs for years as ladies size 6 and my feet measurement on the chart says size 6. Ordered a new pair in Candy Pink, but they were way to small. My toes were sticking out of the holes at the front, they had been made in Mexico, whereas previously we've had them from China, Italy and Bosnia. At best they could have passed for a 4 1/2. They were returned and I ordered the next size (7). These were made in Italy and whilst being a bit big, I've kept them as it seems to be pot luck on where they are made. Crocs really need to sort out this sizing lark once and for all.

",Size: 5/5.5 UKColour: Candy Pink,9 people found this helpful,Reviewed in the United Kingdom on 18 October 2019
"
What is wrong with these sizes?!?
",Uncle Lol,5.0 out of 5 stars,"

  Pros: They're comfy, they're washable, they don't make your feet sweat, they come in lots of colours, the price-tag of £20 was great value.Cons: YOU REALLY DO NEED A SIZE SMALLER THAN ADVERTISED!As other reviewers have stated, the sizing seems to differ from one country of manufacture to another. The first pair I ordered, before returning, were made in Romania. These were large enough to accommodate both feet in one shoe (if I'd have wanted to). The second pair, this time made in Vietnam, were a good fit. Note, I said ""good fit""; if anything, I thought they were ever-so-slightly too-small but I've decided to keep them as they don't feel uncomfortable & should stay on my feet. I'm talking about bare feet. Not thick socks. Worn for the pool & beach. Not for gardening in all weathers. What is WRONG with you?

",Size: 6 UK Men/ 7 UK WomenColour: Navy,6 people found this helpful,Reviewed in the United Kingdom on 12 July 2019
"
Great shoes for beach and garden!
",emlep,4.0 out of 5 stars,"

  I use a pair of crocs for beach walks (no fear of getting them wet and the sand slips through the holes!) and walking around the garden- so they are very useful. Plastic burns my feet but this material doesn’t.  I had a pair but my dog took one and I couldn’t find it anywhere. So I bought these. And guess what- my dog brought back the missing croc! So I have a pair for the beach and a pair for the garden. Excellent. I’m a 37/UK 4 and find this size (36 US 6) a tiny bit small if I use the strap on my heel (useful for walking up the garden slopes) but next size up would be too big.

",Size: 3 UK Men/ 4 UK WomenColour: Navy,2 people found this helpful,Reviewed in the United Kingdom on 18 April 2020
"
Pomegranate Crocs! What's not to like!
",C. Hawkes,5.0 out of 5 stars,"

  OK, first off I am a Croc fan. I've even been to the Croc Shop in Vegas!And these Classic Crocs are great. Same Croc comfort, same Croc design - and a great new colour.A couple of things. The product heading says ""Women's Classic Crocs"" - actually, they are unisex.They are also ""relaxed"" fit - great for my wide feet.Size wise - Croc sizes can be confusing. I take a UK 81/2 size E.These are Men's UK size 9 - they are stamped on the sole M10 - American size.And they are a great, slightly loose (aka ""Roomy"") fit for me.If you have narrower feet, consider a Croc style which is badged ""Relaxed"" or, for narrow feet, ""Standard"" instead.

",Size: 9 UKColour: Pomegranate,4 people found this helpful,Reviewed in the United Kingdom on 23 November 2018
"
Not as good as the old style
",Cocohoney,3.0 out of 5 stars,"

  They have changed the shape and feel of Classic Crocs which I think is a shame. I prefer the rounded wide front and squishiness of my old style crocs, these are considerably narrower at the front. I'm sure they have done this to try and make them less disagreeable to the anti-croccers, but actually they look more silly in their new slimline shape. They are also firmer- I preferred them soft.

",Size: 9 UK Men/ 10 UK WomenColour: Black,16 people found this helpful,Reviewed in the United Kingdom on 26 March 2016
"
Very comfortable
",katiecroc,4.0 out of 5 stars,"

  I think i may be in love with these shoes. I have a lot of pain issues with one of my feet and i would now live in these if i possibly could they are so comfy and well supported. I use these ones as slippers around the house. The only thing i find is that my feet can get a little sweaty in them if it is hot. However they are plastic shoes, this seems reasonable, and they do not cause the blisters that were such a problem with the old fashion plastic 'jelly' shoes. I ordered the size i am usually and these fitted perfectly. That you can shoes to have the back strap down of swing it forward to wear like a clog is also very good.

",Size: 5 UK Men/ 6 UK WomenColour: Black,6 people found this helpful,Reviewed in the United Kingdom on 5 October 2017
"
Legit. Comfy & perfect fit
",Mrs Lee,5.0 out of 5 stars,"

  I was really dubious about these as I was unsure on the size, but I checked out reviews and went with my usual shoe size (UK5 ladies) and they are perfect!They came in a plastic bag, but all of the relevant (authentic) labels and logos are present and correct.SO comfy and feel great.Very happy with the delivery time (Prime customer so 24 hours despite Covid-19) brilliant!Driver was really pleasant, kept within his social distance, had a mask on and I was really impressed. These people work SO hard for us customers, particularly during these very worrying times; so thank you Amazon!

",Size: 4.5/5 UKColour: Bronze,One person found this helpful,Reviewed in the United Kingdom on 14 May 2020
"
Delightful Shoes - everyone loves them.
",JHM,5.0 out of 5 stars,"

  Delightful shoes. Comfortable, light, flexible, easy to wash - several times a day if necessary - easy to put on and take off - just excellent.This colour - yellow - is by far my favourite colour for Crocs.You simply would not believe the number of people - friends, acquaintances and total strangers - who have taken the trouble to stop and tell me how much they like my shoes, how cheerful they are, and how they made them smile.I might get another pair just in case these wear out one day - though my previous Crocs were bought 16 years ago, were worn more or less every day, and have still not worn out.

",Size: 9 UK Men/ 10 UK WomenColour: Lemon,3 people found this helpful,Reviewed in the United Kingdom on 6 August 2018
"
Expensive but quality
",emenjayell,5.0 out of 5 stars,"

  Much much better than the cheapo copies available on the High Street and with the added benefit of not having a pungent manufacturing smell. You only get what you pay, time will tell if the original lasts longer.  The purchasing process was complicated though. I ordered UK men's size 9 but at the checkout this had changed to size 8. Started again from scratch and same thing happened so was wondering what exactly would turn up and not happy at the prospect of having to break self-isolation to do a return. Thankfully this didn't happy but the supplier needs to sort out this anomaly.

",Size: 6.5/7 UKColour: Lapis,One person found this helpful,Reviewed in the United Kingdom on 19 August 2020
"
Extremely comfortable 🙂 never have them off my feet, fantastic!
",Michelle Gilliard ,5.0 out of 5 stars,"

  I bought these back in August, never have them off my feet!Crocs are sometimes quite difficult to buy judging by the sizes advertised, so I thought I'd hopefully help others buy with confidence!I am a true ladies size 4 (UK) but my size in these particular styled Crocs, I buy a size down which is stated (UK)M3/L4 & (US)4-6.Very confusing, but I hope this helps!I have also just purchased a pair for a friend who is a size 8 (UK). He tried on for size today and I ended up buying him a size M7/L8 which is a size smaller!These Crocs are the most comfortable shoes I have ever worn, ideal for many occasions.In the summer I wear the Crocs Kadee style which are toe bar style, amazing!I hope this helps at least one person! 😘

",Size: 3 UK Men/ 4 UK WomenColour: Black,,Reviewed in the United Kingdom on 28 November 2020
"
Sizing issues
",Kel99,3.0 out of 5 stars,"

  I eventually swapped to Crocs Unisex-Adult's Classic Clogs, (Dusty Green), M 8/W 9 from a M 9/W 10 which I bought as I was told M9 meant Mens 9.  The M 8/W 9 is a UK LARGE men size 9 both in terms of length and width.  Although I'm normally Men 9.5 size, the 9 is a bit large which makes me wonder if I should have got an 8.  Also there is no Mens chart, no UK sizes displayed and no half sizes - all very confusing.

",,3 people found this helpful,Reviewed in the United Kingdom on 29 July 2019
"
Sort out your sizing, Crocs!
",Countess Perpetua,2.0 out of 5 stars,"

  Others have commented on the strange sizing of Crocs, which seems to depend on whether they're made in Italy or China. I already had a pair of size 7s, which are roomy, so I only wear them round the house and garden.  And my son wears them (he's a size 9).  I needed something big to wear following a broken ankle so ordered a pair of black size 7.  They arrived and were visibly much smaller than the ones I already had. Small pair made in Italy, large pair made in China, both purporting to be size 7.  Really annoying.  I exchanged for a size 8 which is about the right size on my 'normal' foot - but I'm not usually an 8!Surely such a well known brand should be able to get its sizing right!

",Size: 6 UK Men/ 7 UK WomenColour: Black,32 people found this helpful,Reviewed in the United Kingdom on 2 April 2013
