Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
How Crocs Changed My Life
",Heidi Bumanlag,5.0 out of 5 stars,"

  I will admit, I once was a hater. I lived a hateful negative life where I truly despised this footwear. But recently I've made many drastic life changes and these shoes have helped me see the light. They have helped me to see the beauty of the world and give me the confidence to face whatever obstacles life may throw my way. I can now walk outside with confidence. These shoes, these marvelous shoes, help me to live my life to the fullest not only in style but with such comfort no amount of words can begin to describe. I will now continue to live my life with an open mind to such fashion statements. No more will I live with my head hung low, but now I wear my crocs with pride. Sports mode empowers me while relaxed mode truly is the epitome of serenity. Crocs have also been the glue that has bonded me and one my best friends. Crocs truly change your life and bring people together. I will forever be indebted to this spectacular shoe.

",Size: 7 Women/5 MenColor: Lemon,"1,903 people found this helpful","Reviewed in the United States on September 30, 2019"
"
Call me a Croc Enthusiast!!
",A. Roumie,5.0 out of 5 stars,"

  I LOVE THESE THINGS!! They're stylish and functional. These shoes are the future. It is not hard to pull them off with any outfit. Wear them to school, wear them to run errands, wear them to church! I sure do! Nothing can compare to these wonderful shoes.These shoes really show individuality. With a variety of colors and endless shoe charms, you can express who you are in a unique and fashionable way. Be a trend setter with Crocs, the shoes that should have never gone out of style!

",Size: 10 Women/8 MenColor: Navy,513 people found this helpful,"Reviewed in the United States on August 15, 2017"
"
Freesail vs Classic
",Jeanne,5.0 out of 5 stars,"

  I own 2 pair of Crocs women's Freesail and figured I'd try a pair of the classics.  The Freesail are much trimmer & narrower in width than the  women's Classics.  I love both.  The Classics are quite a bit boxier and wider in width  than the Freesail and the Classics seem to have a bit more  cushioning on the bottom.  Both work well for my problem feet which are usually sporting the Alegria brand shoes/sandals  for work.  However, on weekends and downtime, I prefer Crocs.  I have hammer toes  and deteriorating foot joints and have lost most of natural cushioning on the bottom of my feet making it feel like I'm walking on marbles. I typically wear a women's 8/12 or a European size  39.  In Crocs, I always  go a size 9 for the length.  I love both the Freesail and Classics and would urge anyone with ""touchy feet"" to give these a try.

",Size: 9 Women/7 MenColor: White,323 people found this helpful,"Reviewed in the United States on July 22, 2017"
"
Cutest Comfy Ugly Shoe You Can Buy
",FLRL,5.0 out of 5 stars,"

  I bought this classic fit (wide) shoe in size 6 men to get a size 8 women's.  It fits perfectly.  Most comfortable shoe or clog ever.  They are also ugly but they are so ugly that they are cute. To be clear, I bought these to wear with fluffy socks so I have the room I need (my feet are not wide) when wearing the fluffy socks. The strap can be in the back or in the front.  I like having it across my heel when wearing socks.  Feet don't sweat thanks to all of the vents.  You can also put cute little Jibbitz on them that people will notice and take their attention away from the ugly shoes.  You can wear these things all day, 10-12 hours and your feet and legs will hold out.  I got the original classic style because so many people online complained about the soles coming apart on the newer style.  So buyer beware, if you try them you will love them.

",Size: 8 Women/6 MenColor: Black,211 people found this helpful,"Reviewed in the United States on October 17, 2017"
"
and we like how easy it is to get them on
",Tyler,5.0 out of 5 stars,"

  I never, ever thought I'd wear Crocs, but here I am.Our 1.5 year old daughter loves her Crocs, and we like how easy it is to get them on, how we don't have to fuss over socks, etc. They're great summer shoes for kids. After a while I started thinking about getting myself a pair just as yard work/grilling/fishing/etc. shoes for the same reason. Which is what they started as, but during one Home Depot trip I realized I never took them off and was wearing them out. Fair game, I guess I'm living the Croc life now.Regarding sizing, I saw some strange advice all over. And perhaps it's different between colors, so for clarity's sake I got the Khaki color. Anyway, I saw some people talking about sizing down, but I really don't think that's the right way to go. Crocs do feel loose on your feet, but just wear them around a bit and you'll realize that they're just fine and very secure. The bottom ""floats"" a little bit so you don't develop blisters, but the strap holds them to your feet pretty well. If this were a normal shoe, then I'd size down. But it's not, and it doesn't wear/stretch/weigh the same, so I recommend getting your true size. I'm a 12D, sometimes 11.5 or 12.5, and once in a blue moon a 13. Size 12 works fine for me here.

",Size: 14 Women/12 MenColor: Khaki,178 people found this helpful,"Reviewed in the United States on October 11, 2017"
"
I have avoided crocs because they are big clown shoes in appearance and I didn't want look like a.
",Grace Jane,5.0 out of 5 stars,"

  These are my first crocs.  I have avoided crocs because they are big clown shoes in appearance and I didn't want look like a ...you know.  I finally bought a pair because I am now swimming regularly and needed shoes that could get wet at the pool.  I hate flip flops, which abrade the tender area between big toe and second toe.  Well, I bought the crocs and they are awesome!  Very comfortable.  I have arthritis in my feet and the crocs are surprisingly supportive.  I wear them for long drives.  They are great at the dog park or in the back yard where I am likely to step in something that is very difficult to clean off sneakers but comes off easily with a hose or a wipe from my clogs.  Best of all, I look cool in them, and I know this because the younger generation is impressed.  Not the 20 somethings, who tend to roll their eyes, or my contemporaries who look askance and ask if I have been gardening but the stylesetters of tomorrow.  I wore them to the beach and a toddler and a four year old both patted my shoes. Now I want crocs in every color of the rainbow.

",Size: 8 Women/6 MenColor: Pool,680 people found this helpful,"Reviewed in the United States on August 5, 2015"
"
Never thought I'd buy but very happy now
",Chris Luiszer,5.0 out of 5 stars,"

  Never thought I'd buy a pair of crocs. I've been making fun of them for the past decade but when we moved into a new place with hard floors, I needed something to wear around the house. I stand/walk a lot at work and wanted something that was very comfortable.Got these bad boys and couldn't be happier. After a long day in dress shoes I look forward to wearing these when I get home. Great for working around the house and going up and down the stairs on hard flooring. I flip the strap up and go for the clog configuration. The look better that way and stay on fine without the strap behind your heel. Also nice that they are pretty grippy. I wear them cooking in the kitchen and don't have any issues when I spill stuff on the floor.I would definitely recommend these to anyone. They don't look the coolest but I'm a dad now so I'm fine with that. They are a much more comfortable upgrade from flip flop or slipper for wearing around the house. My only regret is not getting a cool color. If you're gonna get crocs you might as well go big!

",Size: 13 Women/11 MenColor: Black,80 people found this helpful,"Reviewed in the United States on December 14, 2017"
"
Comfy but there are size inconsistencies
",WampThing,4.0 out of 5 stars,"

  I ordered 2 pairs of these crocs classics, cerulean and pepper. Pepper is a true red (I was worried it might look pink) and the cerulean is very blue, not purple at all. I usually wear men's size 8.5 shoes and an m8/w10 fit when tried on in a store. However I read lots of reviews that said the sizes were very inconsistent. I need these soon so don't have time to mess with exchanges so I ordered m8/w10 and m9/w11. They were exactly the same size. Width, length, everything was the same, it was weird. I think they fit more like a m9/w11 but that's fine. I wanted/expected these to be pretty loose like my old ones from over a decade ago. These are pretty comfy like I remember and hopefully they last like my old ones did. I didn't find them shiny, uncomfortably small/narrow or the nubs inside to be too painful, which were all common complaints. Overall I say try them on in store first especially if you're in between sizes. I have high hopes for these. (These are the made in mexico ones by the way)

",Size: 11 Women/9 MenColor: Pepper,96 people found this helpful,"Reviewed in the United States on March 31, 2017"
"
Yay, crocs!
",captainbars,5.0 out of 5 stars,"

  Because of wide feet, I've been afraid of ordering these popular shoes.  Over the years I've had to return or give away shoes I carefully chose, cos only the front of my feet are wide (like a duck). Have to have some sort of strap, or tie on.  My siblings would urge me to try them, so I took the plunge. The 1st pair had to be returned because of a simply mistake at the factory; the wrong size was put in the box.  The replacement arrived yesterday, and I could turn cartwheels, if I could. So comfortable, roomy, and no breaking in period. With regular leather shoes, the little toe on my right foot is still squeezed; with the Crocs, no problem!  And it keeps my feet cool! These are officially my fav shoes. Plan to buy more in diff colors.

",Size: 8 Women/6 MenColor: White,81 people found this helpful,"Reviewed in the United States on May 11, 2017"
"
OBSESSED.
",Lindsey,5.0 out of 5 stars,"

  these just arrived not even 10 minutes ago and i'm already writing a review ! such a cute colour (pink lemonade) and they came brand new with all the original tags. didn't get a fake or damaged pair. also, i was VERY worried about the fit because the reviews were all over the place and i haven't worn crocs since elementary school lol my left foot is also a size smaller than my right, so finding shoes is a struggle to say the least. BUT. these fit PERFECTLY (on both feet !) i've never had a shoe fit so well before. i got a size 6 and believe me when i say i spent DAYS looking through reviews and debating between sizes and i'm glad i didn't size up. they fit very true to size. also, my adidas superstar's are a size US 4.5, sperry's are a size 6, nike air force 1's are size 6.5, and hollister/abercrombie flip flops/sandals are a size small (6-7), etc. only putting these for reference because i know that's one of the things i always look for in reviews. kind of unrelated but useful info in some cases.

",Size: 6 Women/4 MenColor: Pink Lemonade,24 people found this helpful,"Reviewed in the United States on May 18, 2020"
