Title,Author Name,Rating,Review,Size,Helpfullness,Review_Date
"
Not the good made in USA ones of years ago
",Outdoor Enthusiast!,1.0 out of 5 stars,"

  I have worn Crocs for years, but the well-made ones that came from the USA (Colorado) many years ago.  These made in China ones are a harder plastic and extremely wide so that my feet slip around in them or the shoes fall off.  They also aren't anywhere near as comfortable due to the harder plastic, even if they did fit properly.  I have already started the return process, very disappointed since after many years, my American made ones are finally starting to wear out and need replacing

",Size: 9 Women/7 MenColor: Grass Green,367 people found this helpful,"Reviewed in the United States on July 18, 2018"
"
Two completely different sized shoes marked the same size
",MoMo Wondertoes,1.0 out of 5 stars,"

  We have been buying crocs for a long time and this time we received crocs that were marked the right size .... but one was significantly smaller and more narrow than the other. This was something we only realized after leaving on vacation. Our 12 year old constantly complained that the one was too small and the other was too large. He had to wear them until we could find a store to buy him flip flops and so we couldn't return them by the time we got back as they had been worn. Not sure what happened here but I have them and they are definitely two different sizes...

",Size: 7 Women/5 MenColor: Black,327 people found this helpful,"Reviewed in the United States on August 6, 2017"
"
Love Crocs but....
",PJM,1.0 out of 5 stars,"

  I was hoping these would fit like the Classic Clog Crocs I already have but, they still feel too small.  It's the third pair I've ordered lately and can't seem to find the fit I was hoping for.  Ended up donating these and the others to Value Village since I had worn them a couple of times.  None of them seemed as roomy as the ones I have almost worn out.  I love Crocs but am frustrated trying to find the right fit!

",Size: 9 Women/7 MenColor: Navy,157 people found this helpful,"Reviewed in the United States on June 25, 2018"
"
Not buying Crocs.
",Shemit,1.0 out of 5 stars,"

  I would never recommend the now-a-day Crocs clogs to anyone

crocs Unisex Classic Clog,Black,5 M US Men's / 7 M US Women's

  . I have worn a pair of Crocs clogs for over 10 years and decided it was time to replace them. The clogs now are nothing like the clogs of years ago. And sad to say the quality of what was a great buy is gone. This clog is now a plastic of some sort and the insole is not any more comfortable than a regular pair of shoes. I normally wear 6.5US and got a size 7. They are tight across the foot when using the strap, my foot is pushed forward and is uncomfortable. But without the strap the clog doesn't seem to fit right. Sorry to say I will not be buying Crocs clogs anymore.

",Size: 7 Women/5 MenColor: Black,154 people found this helpful,"Reviewed in the United States on May 27, 2017"
"
Didn't last a month
",Amazon Customer,1.0 out of 5 stars,"

  I bought these to replace an earlier pair which were just great, and which I wore for two years.  These were the exact same size and style as before (different colour only).I received these on October 4th, 2018.  Photo taken November 2nd, 2018.  That is less than a month.  You can draw your own conclusions from a glance at the photo.Also, this pair seemed smaller/tighter than the original pair, despite supposedly being the exact same size.  And the rivet/pivot on the strap raised a nasty blister on my foot.Will have to give serious thought before buying another pair of these!

",Size: 11 Women/9 MenColor: Navy,71 people found this helpful,"Reviewed in the United States on November 2, 2018"
"
Not a good Croc
",Kathleen Stewart,1.0 out of 5 stars,"

  These are a cheap Crocs.  They have no arch support like the better Crocs do, the rubber is hard and not flexible and soft like other Crocs.  And they are much too large for a womens B width foot.  In fact, these Crocs actually hurt my feet and legs when I wore them out.  I will never wear these Crocs again.  In fact, I am taking them to Goodwill today and I just got them!I have 2 pairs of older Crocs that cured my Achilles tendinitis and plantar facshitis (spelling sorry), that mold to my feet and are so soft and cushiony and non slip.I think alot of what's wrong with these Crocs is the unisex thing.  I wouldn't buy them if I were you, you'll be sorry.

",Size: 10 Women/8 MenColor: Chocolate,138 people found this helpful,"Reviewed in the United States on January 14, 2017"
"
Are they Knockoffs or just made much cheaper?
",🌷🌄Candy💋✨,1.0 out of 5 stars,"

  Either I got a knock off pair, or the quality of Crocs has went way down. The new ones are made much cheaper and smaller, and the harder plastic is more uncomfortable. There is no more padded arch or footbed (insole), and they are just downright uncomfortable compared to the nice soft, thicker rubber they used to make them with. What happened Crocs? PLEASE bring back the Original Great Quality!

",Size: 10 Women/8 MenColor: Black,38 people found this helpful,"Reviewed in the United States on July 31, 2018"
"
Quality has fallen
",Kindle Customer,1.0 out of 5 stars,"

  I bought a pair supposedly in the same style and size as my original pair from 8 years ago.  The change was both startling and disappointing.The size of the new pair is visibly smaller than my original pair.The little rise at the back of the footbed is almost non-existent so my feet slide out backwards as I walk.The nubs on the footbed are so coarse it's like walking barefoot on gravel.Overall, they are very tight compared to the originals.  In fact so tight that I had to reorder in a larger size.

",Size: 9 Women/7 MenColor: Chambray Blue,27 people found this helpful,"Reviewed in the United States on March 31, 2019"
"
Was sent a cheap knock off instead of the real thing!!!!!
",Bravo Lima,1.0 out of 5 stars,"

  The product I received was not Crocs! I got some knock off brand called ""Satihu""  They looked just like Crocs and I didn't notice right away, but I started getting tendonitis pain in my left foot.  This is a recurring problem that is usually improved by wearing Crocs.  I took a closer look at the shoes and was shocked to see that they aren't real.  I went back and checked by order to make sure that the mistake wasn't mine, but the order clearly states that I purchased Crocs.

",Size: 10 Women/8 MenColor: Black,41 people found this helpful,"Reviewed in the United States on December 7, 2017"
"
Not a Roomy Fit!
",Dahak72,1.0 out of 5 stars,"

  I don’t know what to tell you. Crocs are dead to me. I have searched high and low for the elusive roomy fit crocs that I first purchased about five years ago. They were made in Mexico of a somewhat softer material than the new ones I find now. After much research, I thought the Classic Crocs were the ticket with their “roomy fit” description. This description is BS. I don’t think Croc makes a roomy clog anymore. I certainly can’t find it if they do.

",Size: 12 Women/10 MenColor: Chocolate,19 people found this helpful,"Reviewed in the United States on March 2, 2019"
